Wall time,Step,Value
1678196922.77502,279221,0.0
1678196935.972178,279721,0.0
1678196988.7809,281735,0.0
1678197001.440039,282235,0.0
1678197035.470956,283525,0.0
1678197060.74716,284533,0.0
1678197079.055287,285210,0.0
1678197145.473645,287747,0.0
1678197195.363335,289738,0.0
1678197233.127922,291245,0.0
1678197272.645428,292829,0.0
1678197287.933902,293383,0.0
1678197312.30998,294383,0.0
1678197365.956146,296453,0.0
1678197368.239627,296515,0.0
1678197377.407443,296892,0.0
1678197389.298737,297392,0.0
1678197434.149812,299102,0.0
1678197447.552422,299602,0.0
1678197460.359085,300102,0.0
1678197644.036552,302596,0.0
1678197649.810592,302774,0.0
1678197677.805068,303958,0.0
1678197703.898931,304958,0.0
1678197716.421803,305458,0.0
1678197721.9121,305851,0.0
1678197726.083711,305995,0.0
1678197772.823033,307692,0.0
1678197786.458976,308208,0.0
1678197788.67365,308262,0.0
1678197790.608576,308312,0.0
1678197792.824999,308381,0.0
1678197827.920944,309895,0.0
1678197862.618961,311606,0.0
1678197867.530004,311851,0.0
1678197887.07406,312702,0.0
1678197890.230084,312773,0.0
1678197947.740957,315113,0.0
1678197966.743322,316015,0.0
1678197970.292942,316212,0.0
1678198011.694898,318189,0.0
1678198048.716785,319925,0.0
1678198065.318147,320665,0.0
1678198072.051807,320900,0.0
1678198094.774715,322078,0.0
1678198096.920487,322130,0.0
1678198101.401995,322496,0.0
1678198126.434156,323413,0.0
1678198136.686742,324208,0.0
1678198291.39638,325286,0.0
1678198314.004838,326242,0.0
1678198329.485896,326938,0.0
1678198353.859888,328090,0.0
1678198360.038795,328372,0.0
1678198405.320194,330253,0.0
1678198429.483706,331289,0.0
1678198438.648609,331688,0.0
1678198440.647046,331736,0.0
1678198447.94625,332229,0.0
1678198449.853266,332274,0.0
1678198462.726859,333246,0.0
1678198481.730265,334013,0.0
1678198497.284318,334635,0.0
1678198530.805033,336342,0.0
1678198538.714478,336843,0.0
1678198542.05018,337043,0.0
1678198561.870228,338169,0.0
1678198592.056111,340233,0.0
1678198609.751703,341334,0.0
1678198614.878568,341779,0.0
1678198619.132444,342108,0.0
1678198635.253475,343068,0.0
1678198650.826628,343684,0.0
1678198690.754948,345440,0.0
1678198700.283823,345763,0.0
1678198702.263913,345814,0.0
1678198708.438077,346117,0.0
1678198716.200527,346563,0.0
1678198724.179203,347180,0.0
1678198741.264832,347815,0.0
1678198888.573475,348253,0.1899999976158142
1678198899.018095,348983,0.18000000715255737
1678198919.754877,350374,0.18000000715255737
1678198921.85075,350432,0.18000000715255737
1678198924.645793,350559,0.18000000715255737
1678198944.556449,351323,0.18000000715255737
1678198962.492374,352432,0.17000000178813934
1678198992.793851,354059,0.18000000715255737
1678198999.668413,354288,0.18000000715255737
1678199056.008531,356366,0.18000000715255737
1678199059.772668,356468,0.18000000715255737
1678199070.073713,356829,0.1599999964237213
1678199081.315433,357341,0.15000000596046448
1678199090.993243,357754,0.15000000596046448
1678199107.14521,358467,0.1599999964237213
1678199113.440335,358671,0.1599999964237213
1678199141.302077,359840,0.1599999964237213
1678199155.383777,360351,0.1599999964237213
1678199179.39683,361347,0.1599999964237213
1678199200.072695,362134,0.18000000715255737
1678199204.993315,362333,0.18000000715255737
1678199212.021729,362621,0.18000000715255737
1678199213.03617,362628,0.18000000715255737
1678199218.349098,362822,0.18000000715255737
1678199235.910608,363529,0.20000000298023224
1678199239.560662,363636,0.20000000298023224
1678199243.671647,363787,0.20000000298023224
1678199287.420345,365444,0.20000000298023224
1678199295.775815,365768,0.18000000715255737
1678199307.022792,366211,0.1899999976158142
1678199335.456133,367341,0.18000000715255737
1678199343.091527,367669,0.18000000715255737
1678199358.35262,368277,0.18000000715255737
1678199660.333633,374379,0.15000000596046448
1678199692.028246,375676,0.15000000596046448
1678199693.896791,375722,0.15000000596046448
1678199721.207446,376916,0.15000000596046448
1678199727.816112,377168,0.1599999964237213
1678199744.287369,377837,0.18000000715255737
1678199765.121641,378621,0.1899999976158142
1678199773.47868,378940,0.20000000298023224
1678199797.135191,379840,0.20000000298023224
1678199810.985409,380358,0.20999999344348907
1678199831.446658,381109,0.2199999988079071
1678199873.6825,382738,0.23999999463558197
1678199879.286238,382952,0.25
1678199883.92961,383097,0.25999999046325684
1678199940.824034,385193,0.25999999046325684
1678199944.422583,385314,0.25999999046325684
1678199954.364419,385675,0.23999999463558197
